id;is_sale;is_refund_paid;sales_date;giftcard_id;sales_price;store_id;store_name;merchant_id;from_table_id;from_table_name;is_returned_within_30_days;built_by_machinename
651657;1;0;02-01-2015 11:29;2370311;699;3;\N;7;324373;opl_xml_transactions;\N;GDPLUS-PROD
651703;1;0;02-01-2015 12:43;1857524;599;3;\N;7;324419;opl_xml_transactions;\N;GDPLUS-PROD
651758;1;0;02-01-2015 13:43;2078214;499;3;\N;7;324475;opl_xml_transactions;\N;GDPLUS-PROD
651788;1;0;02-01-2015 14:14;1799136;799;3;\N;7;324509;opl_xml_transactions;\N;GDPLUS-PROD
651833;1;0;02-01-2015 15:09;2126751;499;3;\N;7;324571;opl_xml_transactions;\N;GDPLUS-PROD
651907;1;0;02-01-2015 16:31;1898683;269;3;\N;7;324645;opl_xml_transactions;\N;GDPLUS-PROD
652088;0;0;03-01-2015 12:02;2126260;499;3;\N;7;324836;opl_xml_transactions;\N;GDPLUS-PROD
652089;1;0;03-01-2015 12:01;1887459;599;3;\N;7;324837;opl_xml_transactions;\N;GDPLUS-PROD
652362;1;0;04-01-2015 13:05;1646575;999;3;\N;7;325115;opl_xml_transactions;\N;GDPLUS-PROD
652587;1;0;05-01-2015 14:06;1624252;299;3;\N;7;325354;opl_xml_transactions;\N;GDPLUS-PROD
652607;0;0;05-01-2015 14:59;1817115;995;3;\N;7;325377;opl_xml_transactions;\N;GDPLUS-PROD
652861;1;0;06-01-2015 15:55;1983056;149;3;\N;7;325642;opl_xml_transactions;\N;GDPLUS-PROD
652883;1;0;06-01-2015 16:31;1650732;999;3;\N;7;325666;opl_xml_transactions;\N;GDPLUS-PROD
652928;0;0;06-01-2015 18:27;1862163;399;3;\N;7;325712;opl_xml_transactions;\N;GDPLUS-PROD
652929;0;0;06-01-2015 18:28;1222433;199;3;\N;7;325713;opl_xml_transactions;\N;GDPLUS-PROD
653153;1;0;07-01-2015 18:39;1909685;269;3;\N;7;325959;opl_xml_transactions;\N;GDPLUS-PROD
653208;1;0;08-01-2015 12:07;1860320;399;3;\N;7;326020;opl_xml_transactions;\N;GDPLUS-PROD
653327;0;0;08-01-2015 16:44;1498777;349;3;\N;7;326173;opl_xml_transactions;\N;GDPLUS-PROD
653388;1;0;08-01-2015 18:20;1817406;995;3;\N;7;326237;opl_xml_transactions;\N;GDPLUS-PROD
653575;1;0;09-01-2015 14:30;1957830;199;3;\N;7;326462;opl_xml_transactions;\N;GDPLUS-PROD
653820;1;0;10-01-2015 11:36;1804013;499;3;\N;7;326740;opl_xml_transactions;\N;GDPLUS-PROD
653842;1;0;10-01-2015 11:57;1507303;499;3;\N;7;326768;opl_xml_transactions;\N;GDPLUS-PROD
653891;1;0;10-01-2015 12:52;1946702;199;3;\N;7;326822;opl_xml_transactions;\N;GDPLUS-PROD
654334;1;0;12-01-2015 16:40;1515647;999;3;\N;7;327316;opl_xml_transactions;\N;GDPLUS-PROD
654519;1;0;13-01-2015 16:39;1876685;499;3;\N;7;327524;opl_xml_transactions;\N;GDPLUS-PROD
654527;1;0;13-01-2015 16:54;1628421;299;3;\N;7;327535;opl_xml_transactions;\N;GDPLUS-PROD
654584;0;0;14-01-2015 10:29;1876694;499;3;\N;7;327593;opl_xml_transactions;\N;GDPLUS-PROD
654673;1;0;14-01-2015 15:19;1791782;799;3;\N;7;327682;opl_xml_transactions;\N;GDPLUS-PROD
655000;1;0;15-01-2015 15:45;1672707;499;3;\N;7;327919;opl_xml_transactions;\N;GDPLUS-PROD
655336;1;0;16-01-2015 12:05;1628427;299;3;\N;7;328048;opl_xml_transactions;\N;GDPLUS-PROD
655610;1;0;16-01-2015 14:50;1946645;199;3;\N;7;328137;opl_xml_transactions;\N;GDPLUS-PROD
656265;0;0;17-01-2015 12:19;1258983;269;3;\N;7;328379;opl_xml_transactions;\N;GDPLUS-PROD
656362;1;0;17-01-2015 13:10;1946643;199;3;\N;7;328443;opl_xml_transactions;\N;GDPLUS-PROD
657405;1;0;19-01-2015 12:48;2370328;699;3;\N;7;328778;opl_xml_transactions;\N;GDPLUS-PROD
657657;1;0;20-01-2015 13:11;1633503;299;3;\N;7;328932;opl_xml_transactions;\N;GDPLUS-PROD
657894;1;0;21-01-2015 13:34;2372027;2195;3;\N;7;329100;opl_xml_transactions;\N;GDPLUS-PROD
658022;1;0;21-01-2015 17:49;1824626;499;3;\N;7;329219;opl_xml_transactions;\N;GDPLUS-PROD
658106;1;0;22-01-2015 12:26;2136720;399;3;\N;7;329295;opl_xml_transactions;\N;GDPLUS-PROD
658356;1;0;22-01-2015 18:14;1638998;299;3;\N;7;329458;opl_xml_transactions;\N;GDPLUS-PROD
658433;1;0;23-01-2015 11:55;1910901;269;3;\N;7;329526;opl_xml_transactions;\N;GDPLUS-PROD
658484;1;0;23-01-2015 12:46;1672928;499;3;\N;7;329552;opl_xml_transactions;\N;GDPLUS-PROD
658933;1;0;24-01-2015 10:50;1848702;849;3;\N;7;329860;opl_xml_transactions;\N;GDPLUS-PROD
658935;1;0;24-01-2015 10:59;1656570;299;3;\N;7;329862;opl_xml_transactions;\N;GDPLUS-PROD
659294;1;0;25-01-2015 11:37;1897964;269;3;\N;7;330127;opl_xml_transactions;\N;GDPLUS-PROD
659481;1;0;26-01-2015 12:24;1848777;849;3;\N;7;330249;opl_xml_transactions;\N;GDPLUS-PROD
659782;1;0;27-01-2015 15:04;1946644;199;3;\N;7;330463;opl_xml_transactions;\N;GDPLUS-PROD
660205;1;0;29-01-2015 10:05;1505856;499;3;\N;7;330761;opl_xml_transactions;\N;GDPLUS-PROD
660849;1;0;30-01-2015 15:23;1946647;199;3;\N;7;331215;opl_xml_transactions;\N;GDPLUS-PROD
660946;1;0;30-01-2015 16:38;1982924;149;3;\N;7;331288;opl_xml_transactions;\N;GDPLUS-PROD
661055;1;0;30-01-2015 17:49;1891121;269;3;\N;7;331343;opl_xml_transactions;\N;GDPLUS-PROD
661376;1;0;31-01-2015 13:17;2129899;399;3;\N;7;331551;opl_xml_transactions;\N;GDPLUS-PROD
661385;1;0;31-01-2015 13:23;1936561;199;3;\N;7;331560;opl_xml_transactions;\N;GDPLUS-PROD
661536;1;0;31-01-2015 15:54;1620065;299;3;\N;7;331688;opl_xml_transactions;\N;GDPLUS-PROD
661714;1;0;01-02-2015 12:13;1999441;299;3;\N;7;331795;opl_xml_transactions;\N;GDPLUS-PROD
661776;1;0;01-02-2015 15:43;1946466;199;3;\N;7;331858;opl_xml_transactions;\N;GDPLUS-PROD
661855;1;0;02-02-2015 10:30;1946651;199;3;\N;7;331894;opl_xml_transactions;\N;GDPLUS-PROD
661857;1;0;02-02-2015 10:30;1999528;299;3;\N;7;331895;opl_xml_transactions;\N;GDPLUS-PROD
661859;1;0;02-02-2015 10:30;1855175;599;3;\N;7;331896;opl_xml_transactions;\N;GDPLUS-PROD
661956;1;0;02-02-2015 13:56;1778095;299;3;\N;7;331951;opl_xml_transactions;\N;GDPLUS-PROD
662205;1;0;03-02-2015 13:37;1645851;999;3;\N;7;332126;opl_xml_transactions;\N;GDPLUS-PROD
